,match_api_id,season,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,winner_id_label
0,1979832,2015/2016,2015-07-24 00:00:00,9997,8342,2,1,66.0,65.0,73.0,66.0,64.0,60.0,65.0,65.0,67.0,64.0,68.0,66.0,67.0,72.0,72.0,70.0,72.0,74.0,72.0,66.0,74.0,70.0,4.33,4.0,1.7,4.5,3.8,1.72,4.2,3.5,1.8,4.5,3.8,1.73,4.9,4.09,1.72,4.0,3.75,1.75,4.4,4.0,1.75,1
1,1979833,2015/2016,2015-07-25 00:00:00,8571,9985,2,1,67.0,64.0,67.0,67.0,66.0,70.0,67.0,69.0,68.0,68.0,60.0,72.0,68.0,69.0,72.0,72.0,68.0,64.0,70.0,69.0,71.0,70.0,2.6,3.4,2.6,2.5,3.25,2.75,2.6,3.2,2.6,2.62,3.3,2.6,2.69,3.42,2.73,2.5,3.25,2.62,2.7,3.4,2.63,1
2,1979834,2015/2016,2015-07-25 00:00:00,9987,1773,3,1,71.0,69.0,73.0,72.0,71.0,61.0,71.0,71.0,67.0,68.0,73.0,65.0,66.0,67.0,68.0,62.0,65.0,65.0,69.0,66.0,63.0,65.0,1.62,3.75,5.5,1.62,3.75,5.5,1.6,3.7,5.4,1.6,3.75,6.0,1.6,4.2,5.96,1.62,3.8,4.8,1.6,4.1,5.5,1
3,1979835,2015/2016,2015-07-25 00:00:00,8573,8203,3,1,67.0,66.0,67.0,72.0,67.0,71.0,62.0,67.0,68.0,70.0,68.0,72.0,68.0,65.0,67.0,63.0,65.0,67.0,67.0,67.0,70.0,67.0,2.5,3.3,2.8,2.5,3.3,2.7,2.5,3.3,2.65,2.5,3.25,2.8,2.55,3.34,2.96,2.45,3.1,2.8,2.5,3.3,2.88,1
4,1979836,2015/2016,2015-07-25 00:00:00,10000,9994,3,1,71.0,57.0,62.0,68.0,67.0,66.0,69.0,68.0,66.0,64.0,69.0,69.0,70.0,70.0,66.0,62.0,71.0,64.0,70.0,68.0,66.0,63.0,2.38,3.4,2.88,2.3,3.4,2.9,2.3,3.3,2.9,2.38,3.3,3.0,2.31,3.47,3.23,2.3,3.25,2.88,2.3,3.4,3.1,1
5,1979837,2015/2016,2015-07-26 00:00:00,10001,9991,1,1,64.0,64.0,65.0,71.0,67.0,65.0,63.0,67.0,65.0,64.0,69.0,70.0,69.0,65.0,68.0,71.0,70.0,71.0,71.0,68.0,70.0,66.0,4.0,3.6,1.85,4.25,3.8,1.75,4.5,3.5,1.75,4.2,3.6,1.83,4.31,3.77,1.88,4.0,3.5,1.8,4.1,3.7,1.87,0
6,1979838,2015/2016,2015-07-26 00:00:00,8635,8475,3,2,74.0,72.0,69.0,72.0,70.0,76.0,72.0,74.0,75.0,69.0,75.0,65.0,66.0,64.0,64.0,63.0,63.0,66.0,63.0,68.0,67.0,62.0,1.2,7.0,11.0,1.22,5.25,17.0,1.2,5.8,13.0,1.2,6.5,13.0,1.23,6.82,14.26,1.2,6.0,11.0,1.2,6.5,15.0,1
7,1979839,2015/2016,2015-07-26 00:00:00,9986,274581,2,1,72.0,66.0,69.0,68.0,65.0,67.0,69.0,66.0,71.0,65.0,69.0,64.0,63.0,63.0,65.0,65.0,67.0,60.0,62.0,64.0,54.0,63.0,1.67,3.75,5.0,1.7,3.7,4.75,1.75,3.5,4.5,1.7,3.6,5.0,1.66,3.85,5.99,1.7,3.4,4.8,1.65,3.8,5.5,1
8,1979896,2015/2016,2015-10-04 00:00:00,8635,8203,1,1,75.0,74.0,75.0,73.0,72.0,73.0,71.0,77.0,77.0,75.0,76.0,74.0,67.0,68.0,73.0,70.0,67.0,71.0,68.0,66.0,66.0,69.0,1.44,4.75,6.0,1.44,4.4,6.75,1.4,4.4,7.3,1.44,4.33,7.0,1.48,4.57,7.6,1.4,4.33,7.0,1.44,4.6,7.0,0
9,1979897,2015/2016,2015-10-04 00:00:00,9991,8342,4,1,74.0,70.0,75.0,73.0,70.0,71.0,77.0,71.0,74.0,74.0,70.0,66.0,74.0,72.0,75.0,73.0,74.0,74.0,70.0,76.0,74.0,75.0,2.1,3.5,3.25,2.15,3.4,3.25,2.2,3.3,3.1,2.1,3.5,3.3,2.17,3.56,3.53,2.1,3.4,3.1,2.15,3.5,3.3,1
10,1979898,2015/2016,2015-10-04 00:00:00,9987,9985,3,1,71.0,71.0,71.0,73.0,69.0,69.0,60.0,66.0,75.0,70.0,74.0,71.0,71.0,72.0,70.0,72.0,71.0,59.0,73.0,70.0,72.0,69.0,2.1,3.5,3.3,2.1,3.4,3.3,2.2,3.3,3.1,2.15,3.4,3.3,2.18,3.62,3.43,2.0,3.5,3.3,2.15,3.6,3.25,1
